Region code,Region name ,Local authority code,Local authority name,Year ending Sep 2002,Year ending Sep 2003,Year ending Sep 2004,Year ending Sep 2005,Year ending Sep 2006,Year ending Sep 2007,Year ending Sep 2008,Year ending Sep 2009,Year ending Sep 2010,Year ending Sep 2011,Year ending Sep 2012,Year ending Sep 2013,Year ending Sep 2014,Year ending Sep 2015,Year ending Sep 2016,Year ending Sep 2017,Year ending Sep 2018,Year ending Sep 2019,Year ending Sep 2020,Year ending Sep 2021,Year ending Sep 2022
E12000001,North East,E06000001,Hartlepool,53000,54972.5,55000,60000,86000,100000,110000,100000,112500,105000,102500,116000,117000,124250,120000,123000,124000,129950,130000,135000,125000
E12000001,North East,E06000002,Middlesbrough,47583,46000,64950,78000,99000,108000,100000,110000,108750,102500,105000,108000,120000,124000,131000,125000,133000,134950,135000,139500,130000
E12000001,North East,E06000003,Redcar and Cleveland,56000,69950,87000,100000,115000,123000,120000,115000,119972.5,112000,115000,116750,122500,125000,130000,130000,134000,130000,134995,145000,145000
E12000001,North East,E06000004,Stockton-on-Tees,65000,80000,100000,115000,124000,132995,132351,125250,130250,125000,125000,127500,133000,135000,135000,142500,146000,146500,151500,160000,152450
E12000001,North East,E06000005,Darlington,59000,71000,95000,111500,113995,121000,123000,120000,125000,120000,122000,119972.5,124950,131000,133250,137975,139000,140000,149995,158500,141100
E12000001,North East,E06000047,County Durham,50000,59950,80000,94050,105000,107500,110000,102000,110000,100000,100000,105000,110000,110000,111000,114000,116995,120995,120000,130000,120000
E12000001,North East,E06000057,Northumberland,69000,84950,108000,120000,133000,137000,144000,134000,145000,137525,137000,137000,145825,155000,157500,159950,165000,169000,169467,190000,170000
E12000001,North East,E08000021,Newcastle upon Tyne,75000,95000,125000,125000,140000,144000,145000,135000,140000,135000,131000,137500,141000,150000,155000,156000,160000,164995,165000,186000,175000
E12000001,North East,E08000022,North Tyneside,60000,82500,110000,120000,128000,132000,130250,128000,142000,132667,133000,137115,143500,155000,155000,165000,169475,174000,171000,185000,178000
E12000001,North East,E08000023,South Tyneside,50975,63125,85000,97000,106000,115000,115000,112000,117500,107000,106000,113445.5,119995,130000,131950,133000,137000,136000,135000,150000,139975
E12000001,North East,E08000024,Sunderland,55500,67500,87737.5,98500,105250,112000,112000,105000,110000,106000,107902,110000,115000,120000,120000,125000,127000,130000,128000,140000,130000
E12000001,North East,E08000037,Gateshead,59950,74000,94500,105000,115000,119500,119950,120000,120000,117500,116500,124720,124950,130000,130000,130000,136250,140000,141500,150000,139250
E12000002,North West,E06000006,Halton,60000,78000,93500,112000,115000,118000,118000,115000,125000,113000,114950,120000,125000,125000,134950,137000,140000,147500,152000,162000,160000
E12000002,North West,E06000007,Warrington,86775,105000,128950,140000,140000,150000,146972.5,140000,150000,148997.5,148000,151000,156000,164000,167000,175000,180000,190000,201125,230000,230000
E12000002,North West,E06000008,Blackburn with Darwen,43000,49950,66000,77975,86000,98000,104000,98000,98200,92500,97250,97000,99950,105000,104000,107500,120000,122000,124950,140000,130000
E12000002,North West,E06000009,Blackpool,55000,68000,87500,104000,113000,118000,117000,100000,105000,99000,95000,94500,99250,100000,105000,112000,110000,114000,118000,125000,129725
E12000002,North West,E06000049,Cheshire East,100000,125000,146000,158000,163000,169950,175000,163000,174950,170000,171500,173000,184000,192000,201995,215000,232500,238000,240000,268000,255500
E12000002,North West,E06000050,Cheshire West and Chester,92950,110000,137500,149450,155000,161500,164000,155000,163500,156000,158000,165000,170000,182000,185000,197500,198000,200000,210000,236000,231250
E12000002,North West,E07000026,Allerdale,65000,76000,92750,110000,130000,143000,137000,134000,144000,133000,136000,143500,146000,148000,143000,156000,163200,165000,163500,175000,155000
E12000002,North West,E07000027,Barrow-in-Furness,41000,47050,58500,72000,82000,92000,101500,93000,102500,97485,93000,100000,103000,110000,115000,119500,123000,128000,126000,144000,136250
E12000002,North West,E07000028,Carlisle,56500,72550,92000,105000,118930,124999,124950,118000,124950,120000,124000,122500,125000,125000,134000,132000,140000,145000,145995,160000,142000
E12000002,North West,E07000029,Copeland,45500,50000,69995,86000,98000,106975,111000,105000,119975,115000,110000,115000,117247.5,118000,125000,128575,122500,125000,130000,140000,129950
E12000002,North West,E07000030,Eden,86500,117250,157250,169500,176950,183000,189000,172500,176500,175000,166375,172500,175000,182500,185000,180100,205000,210000,200000,230000,235000
E12000002,North West,E07000031,South Lakeland,102500,129950,164000,179950,189950,199995,210000,190000,200000,196750,194000,190000,200000,210253,217500,225000,225000,240000,248000,268000,275750
E12000002,North West,E07000117,Burnley,30000,30950,37200,46375,63000,76000,82000,74950,75000,75000,75000,74000,83000,77500,89000,87495,90000,92750,100000,117500,117500
E12000002,North West,E07000118,Chorley,75500,92500,118000,132000,133000,137950,140000,140000,149995,149000,149995,149995,152500,161497.5,162950,172000,165000,170000,179000,195000,183000
E12000002,North West,E07000119,Fylde,86250,116000,145000,158000,170000,178000,176050,163500,170250,162000,155000,168000,167250,180000,190000,199950,193000,198000,209950,222500,212000
E12000002,North West,E07000120,Hyndburn,38250,38950,54375,70000,79950,90000,95000,83000,85000,85000,87500,87000,87500,90000,100000,100500,100100,101500,110000,117500,122000
E12000002,North West,E07000121,Lancaster,60000,79950,100000,118350,123500,130000,136000,123000,133995,125000,126500,130500,136000,140000,152000,151000,154375,155000,161000,180000,178000
E12000002,North West,E07000122,Pendle,36000,39000,50975,60000,77000,90000,94000,85000,85000,85000,82000,84750,91000,92000,95250,102500,105000,110000,117000,135000,125000
E12000002,North West,E07000123,Preston,58500,68000,92500,115000,119995,125000,124999,120585,123000,114250,124000,120000,125000,125000,129750,139500,144000,145000,152125,167000,160000
E12000002,North West,E07000124,Ribble Valley,88000,115000,158250,164500,173500,183000,188000,160000,174000,185750,175000,182000,192000,198000,207995,215000,215000,230000,237500,252000,250000
E12000002,North West,E07000125,Rossendale,48500,62500,85000,96000,106000,113500,115000,110000,113500,110000,107500,111000,118000,125000,123000,130050,130000,135000,145000,170000,164950
E12000002,North West,E07000126,South Ribble,74500,91150,122725,132500,135000,145000,145000,135000,143950,140000,136000,140000,149995,151000,155000,155000,163000,165000,170000,186000,185000
E12000002,North West,E07000127,West Lancashire,84500,103125,130000,138000,147000,158000,158000,155000,165000,150000,160000,162000,165000,168500,179995,180000,185000,192747.5,189475,217500,200000
E12000002,North West,E07000128,Wyre,74000,92450,119950,135000,140000,148950,145000,140000,142000,135000,135000,135995,135000,140000,145000,150250,154999,155000,165000,181000,173787
E12000002,North West,E08000001,Bolton,55000,60000,80000,98000,110000,120000,119846.5,109250,110000,107000,105000,108500,113000,119000,124995,127000,132500,137000,145000,163000,170000
E12000002,North West,E08000002,Bury,67000,80000,98500,119000,125000,130000,133500,125000,130000,120000,123000,122000,133000,144500,150000,157500,164000,173375,180000,212000,215000
E12000002,North West,E08000003,Manchester,67000,77000,97000,115000,130000,139995,135000,120610,124000,127500,125000,125000,134995,139950,148000,160500,170000,180000,195000,220000,230000
E12000002,North West,E08000004,Oldham,50000,59000,74000,86950,102000,111995,115000,105000,110000,104972.5,107000,110000,115000,117500,122000,127000,130000,135000,140000,170000,175000
E12000002,North West,E08000005,Rochdale,53500,63000,80000,94000,100000,113000,112000,100000,110000,105000,110000,115000,120000,123000,125000,127500,130000,140000,146500,170000,170000
E12000002,North West,E08000006,Salford,54000,69550,90000,105000,115125,124000,125000,116000,114000,110000,112500,116000,118745,125000,136500,158000,162950,164950,185000,205000,220000
E12000002,North West,E08000007,Stockport,89950,110000,134950,142500,150000,164950,165000,155000,160000,160000,160000,164000,172000,180000,194950,205000,220000,225000,234972.5,275000,273101.5
E12000002,North West,E08000008,Tameside,54500,68000,85000,100000,112000,122060,124950,110000,111050,108000,108000,110000,117000,124950,127500,135000,140000,148500,155000,175000,186000
E12000002,North West,E08000009,Trafford,112500,130000,155000,170000,175000,187000,185000,172000,180000,186000,185000,192000,199999.5,215999,230000,247000,257500,270500,282500,320000,346000
E12000002,North West,E08000010,Wigan,55000,67000,88000,99000,110000,119950,119000,110000,115000,110000,110000,110000,118817,123000,125000,130000,135000,145000,150000,163000,167000
E12000002,North West,E08000011,Knowsley,58500,67115.5,93000,114950,117000,119475,117725,107047.5,111750,106950,106000,110000,110000,119000,120000,128000,133000,150000,159000,165000,165000
E12000002,North West,E08000012,Liverpool,54950,63000,86500,100000,115000,123000,119950,115000,115000,110000,112000,112000,115000,120000,120000,124000,127000,126995,131000,157000,150000
E12000002,North West,E08000013,St. Helens,59950,69950,93500,109975,117000,123000,122000,110000,117500,110000,109000,110000,122000,120000,128000,132750,132000,135000,144000,157500,156000
E12000002,North West,E08000014,Sefton,78000,94000,123500,135000,142500,150000,148685,145000,149000,141000,140000,135000,146000,148000,158500,161250,166500,173000,177000,200000,200000
E12000002,North West,E08000015,Wirral,69000,82000,108000,120000,130000,138000,137000,130000,135000,135000,136000,135000,139950,142000,149950,155000,160000,165000,165500,195000,191250
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",39950,48500,58950,69000,81995,91000,93750,83000,91000,88500,89000,92000,97000,100000,105000,115000,112500,120000,120000,127000,127500
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,74950,93000,124000,133000,140000,149000,150000,137000,145000,139950,141000,140000,149000,153000,160000,170000,175000,182000,190000,210000,202000
E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,50000,55000,74950,82000,95000,105000,110000,105000,115000,110000,112000,108000,119950,118625,123000,129000,128000,133000,137000,150000,147500
E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,55995,72500,92500,109995,115000,120000,124500,118872.5,119950,115000,112750,115000,120000,124995,127500,132500,137500,142500,145000,163000,161000
E12000003,Yorkshire and The Humber,E06000014,York,105000,131100,145950,161495,167000,177000,179950,163000,173000,175000,177000,180000,190000,210000,216750,227500,235000,243250,250000,275000,290250
E12000003,Yorkshire and The Humber,E07000163,Craven,92000,119950,140000,155000,172500,180000,178000,169975,175000,175375,175500,170000,174999,185000,187500,200000,195400,214950,231500,245000,245000
E12000003,Yorkshire and The Humber,E07000164,Hambleton,111000,130750,170000,186000,186500,200000,200000,180000,199950,200000,203000,200000,210000,212000,220000,229713,230000,230000,240000,269975,260000
E12000003,Yorkshire and The Humber,E07000165,Harrogate,122000,151500,175000,189950,192500,215000,215000,195000,215000,215000,212000,212700,222500,239950,258000,265000,275000,272500,299995,323000,307500
E12000003,Yorkshire and The Humber,E07000166,Richmondshire,89950,112000,148000,165000,167500,187500,186000,175000,192750,193500,180000,192500,184500,185000,195000,195000,200000,210000,200750,248000,250000
E12000003,Yorkshire and The Humber,E07000167,Ryedale,97000,128000,157000,180000,182000,193250,200000,168500,183000,185000,176000,183000,184999.5,194475,206950,216750,225000,221000,234950,250000,275000
E12000003,Yorkshire and The Humber,E07000168,Scarborough,71000,89950,120000,138500,140000,150000,150000,140000,146000,145000,140000,140000,145000,150000,145000,157000,159950,160000,169000,185000,185625
E12000003,Yorkshire and The Humber,E07000169,Selby,86123.5,115995,139000,152995,156000,166995,165000,151250,159995,158000,160000,160000,161225,166995,180000,190000,202500,205000,212000,228050,235200
E12000003,Yorkshire and The Humber,E08000016,Barnsley,47350,59950,82000,95000,105000,112000,110995,102000,105000,102000,105000,105000,110000,114950,117000,122000,129995,135000,135000,149995,150000
E12000003,Yorkshire and The Humber,E08000017,Doncaster,50000,66500,89950,102500,110000,116000,117000,107500,115000,110000,110000,110000,118000,124000,125000,130000,128000,131500,138000,153625,151000
E12000003,Yorkshire and The Humber,E08000018,Rotherham,59500,70000,88000,102000,115000,120000,123000,115000,119995,115000,117995,122500,125000,130000,134950,133245,138000,140000,145900,165000,163500
E12000003,Yorkshire and The Humber,E08000019,Sheffield,67500,83000,105550,114950,124995,129995,129950,123000,130000,124950,125000,124995,131995,138000,140000,150000,157000,160000,168920,183000,188000
E12000003,Yorkshire and The Humber,E08000032,Bradford,56000,66000,85000,99000,115000,124995,124995,117000,120000,120000,115000,119000,120000,125000,128000,133000,135000,138000,140000,156000,152000
E12000003,Yorkshire and The Humber,E08000033,Calderdale,55000,68250,90000,110000,117000,125000,125000,113000,124950,120000,115000,120000,124000,128000,135000,135000,141000,145000,150000,165000,158000
E12000003,Yorkshire and The Humber,E08000034,Kirklees,59500,75000,97500,112000,124000,130000,130000,122500,129950,124950,122999.5,124999,125000,132000,139950,141000,150000,155000,160000,180000,175000
E12000003,Yorkshire and The Humber,E08000035,Leeds,79000,99000,122000,132500,138000,145000,144725,134995,144000,142000,141000,144000,149000,154950,162500,169950,175100,180000,195000,220000,220000
E12000003,Yorkshire and The Humber,E08000036,Wakefield,62995,81988.5,98995,114950,119500,125000,126650,119000,125000,120000,119000,120000,125000,129896,136000,145000,152000,156000,159995,179000,178000
E12000004,East Midlands,E06000015,Derby,65000,81950,106000,120000,123010,130000,127000,120000,125000,119950,122725,125000,134000,136500,143000,145430,154950,165000,170000,185000,188000
E12000004,East Midlands,E06000016,Leicester,65000,86000,109950,118476,119950,125000,127000,120000,122000,121500,120000,121000,125000,132000,141000,152000,167000,177000,183000,210000,221000
E12000004,East Midlands,E06000017,Rutland,129950,156250,180000,191000,204603,210000,219000,200000,220000,205000,207000,209950,215000,233995,241995,250000,261500,270000,310000,315000,300000
E12000004,East Midlands,E06000018,Nottingham,63500,83000,96500,107500,113500,110505,108000,100000,100000,98000,97500,99559,107000,112500,120000,130000,135000,140000,148000,165000,175000
E12000004,East Midlands,E07000032,Amber Valley,68950,86950,109750,118000,125000,134950,137375,125000,133750,130000,125000,130000,134000,150000,155000,160000,172000,175000,177500,209950,195000
E12000004,East Midlands,E07000033,Bolsover,46000,62500,81500,94997.5,100000,109950,112500,100750,106000,95000,97500,97000,108000,112000,120000,125000,128500,133747.5,139995,159000,157000
E12000004,East Midlands,E07000034,Chesterfield,59950,75000,98997.5,115000,120000,125000,125000,115000,122500,118925,119000,124999.5,125000,130000,135000,142500,150000,152500,164000,182000,175000
E12000004,East Midlands,E07000035,Derbyshire Dales,120000,138000,170500,195000,200000,222000,202000,185000,212500,205000,200500,210000,218000,224000,234500,250000,249950,269950,266500,290000,315000
E12000004,East Midlands,E07000036,Erewash,68500,85000,106000,117500,119500,125000,124000,118000,118875,119000,120000,121000,126200,134000,137000,145000,154950,160000,168000,185000,200000
E12000004,East Midlands,E07000037,High Peak,85000,105000,132000,140000,145852.5,157000,155000,150000,146000,145000,150000,149500,150000,160000,169000,180000,185000,191000,196000,221747.5,230561.5
E12000004,East Midlands,E07000038,North East Derbyshire,69950,92000,114975,130000,139950,144500,144975,139975,138000,145000,142000,141200,151000,160000,165000,175000,180827.5,185000,200000,220000,215000
E12000004,East Midlands,E07000039,South Derbyshire,84000,112500,129500,143950,146000,149000,151747.5,138995,147500,142500,150000,145250,158000,168500,175000,195000,204850,217975,215125,230000,230000
E12000004,East Midlands,E07000129,Blaby,90000,118850,138000,147000,151725,160000,159950,145000,149000,155000,153000,155000,165000,176000,193000,204850,215000,220000,227000,250000,265225
E12000004,East Midlands,E07000130,Charnwood,86500,115000,135000,145000,148000,158000,157500,143000,151250,154625,155525,159950,168950,175000,188000,200000,210000,222500,225995,248747.5,250000
E12000004,East Midlands,E07000131,Harborough,122000,154725,169950,180000,186000,198000,194850,174725,200000,185000,185482.5,190000,215000,230000,239972.5,260000,269997.5,292000,295000,324995,315000
E12000004,East Midlands,E07000132,Hinckley and Bosworth,88172.5,110995,129500,140000,147000,153000,152000,148000,155000,149247.5,147000,147500,164000,170000,172995,187500,200000,205000,206500,235000,250000
E12000004,East Midlands,E07000133,Melton,98000,119995,139000,147500,155250,163250,159000,145000,155000,157000,160000,163000,166000,172000,185000,194997.5,205000,221250,220000,265000,250000
E12000004,East Midlands,E07000134,North West Leicestershire,87000,112000,130000,140000,142950,153000,153000,139850,145000,145000,140000,151476,160000,175000,180000,190000,210000,207725,227731,247345,251000
E12000004,East Midlands,E07000135,Oadby and Wigston,85000,115000,135000,146500,146500,153975,155000,135000,147975,150000,142875,146000,151975,165000,177000,186600,202500,215000,236000,257000,260000
E12000004,East Midlands,E07000136,Boston,67950,85276.5,107500,117995,118000,126747.5,124950,118000,119000,120000,123000,122000,129000,135000,141475,147000,155000,165000,169950,185000,185975
E12000004,East Midlands,E07000137,East Lindsey,75000,92000,123000,130000,135000,144000,143325.5,130000,135500,134000,129950,130000,136250,145000,148000,159997.5,165000,172000,177500,198000,210000
E12000004,East Midlands,E07000138,Lincoln,60000,82950,100000,109000,119000,123000,122000,115000,119350,119997.5,119000,120000,125000,130000,135000,143500,147000,152500,159950,172500,175000
E12000004,East Midlands,E07000139,North Kesteven,86000,114000,131000,140000,146000,154950,157750,140997.5,149950,143000,145750,144000,155000,165000,175000,183000,190000,202500,202000,228000,231750
E12000004,East Midlands,E07000140,South Holland,85000,105000,128000,134500,136500,149000,144997.5,129997.5,138000,133000,135000,135995,145000,153000,160000,170000,183000,185000,192250,217500,225000
E12000004,East Midlands,E07000141,South Kesteven,90000,118725,139000,151000,150000,162500,166000,147000,160000,153000,153500,155995,165000,173995,186725,195000,210000,214625,220000,245000,248000
E12000004,East Midlands,E07000142,West Lindsey,72000,90000,125000,128000,132950,142972.5,145000,130500,145000,140000,135000,135000,151000,150500,150000,165000,175000,177975,185000,220000,214995
E12000004,East Midlands,E06000061,North Northamptonshire,79995,98000,119950,129995,133000,142000,142155.5,130000,138000,135000,132500,138500,148000,160000,174000,189999,205000,210000,218000,235000,245000
E12000004,East Midlands,E06000062,West Northamptonshire,105000,127000,139995,146950,153000,163000,163500,152000,163849,160000,164000,166500,180000,192500,215000,235000,245000,245500,246000,275000,280000
E12000004,East Midlands,E07000170,Ashfield,57950,73000,93000,99995,107500,117500,112500,100933,106500,110995,110000,110000,120000,125000,130000,138000,142000,145000,145000,170000,177000
E12000004,East Midlands,E07000171,Bassetlaw,64995,82500,103000,119999,120850,128500,123250,120000,125000,125000,120000,122972.5,125000,130000,135995,146500,153000,160000,170500,190000,180000
E12000004,East Midlands,E07000172,Broxtowe,82000,105000,125000,137500,136000,141500,139950,129995,134000,132000,131997.5,137000,139000,148000,160000,162500,175000,185000,193000,218475,225000
E12000004,East Midlands,E07000173,Gedling,81700,100000,120000,129950,132000,136000,130000,125000,135950,132000,130000,130000,140000,147600,153000,165000,175000,181000,194997.5,217000,225000
E12000004,East Midlands,E07000174,Mansfield,54000,68000,88000,99950,107000,110000,112000,105000,112000,108800,103500,108250,115000,120100,127000,127000,136995,146000,150000,165000,168000
E12000004,East Midlands,E07000175,Newark and Sherwood,79950,109950,125000,130000,135000,142000,142500,131550,143000,135000,140015,142000,150000,150000,159000,169995,180000,187250,185000,222500,210000
E12000004,East Midlands,E07000176,Rushcliffe,122500,155000,170000,183750,185450,195000,189000,182000,195000,192500,190000,200000,207000,229972.5,249995,265000,269950,282250,288500,305000,310000
